dest_port,port_class
20,FTP
21,FTP
22,SSH
23,Telnet
25,SMTP
53,DNS
69,TFTP
110,POP3
111,RPC
135,RPC-DCOM
137,NetBIOS
138,NetBIOS
139,NetBIOS
143,IMAP
161,SNMP
162,SNMP
389,LDAP
445,SMB
465,SMTPS
512,rexec
513,rlogin
514,rsh-syslog
587,SMTP-Sub
636,LDAPS
873,rsync
993,IMAPS
995,POP3S
1080,SOCKS
1099,RMI
1433,SQL-Server
1434,SQL-Browser
1521,Oracle
1723,PPTP
2049,NFS
2082,cPanel
2083,cPanel
2222,SSH-Alt
2375,Docker
2376,Docker-TLS
2483,Oracle
2484,Oracle
3000,Web-Dev
3306,MySQL
3389,RDP
3390,RDP-Alt
4444,Metasploit
5000,Web-Dev
5432,PostgreSQL
5500,VNC
5555,ADB
5601,Kibana
5631,pcAnywhere
5900,VNC
5901,VNC
5985,WinRM
5986,WinRM-TLS
6000,X11
6379,Redis
6443,Kube-API
7001,WebLogic
8000,Web-Alt
8008,Web-Alt
8080,Web-Proxy
8081,Web-Proxy
8443,Web-Alt-TLS
8888,Web-Alt
9000,Web-Alt
9090,Web-Admin
9200,Elasticsearch
9300,Elasticsearch
10000,Webmin
11211,Memcached
15672,RabbitMQ
27017,MongoDB
27018,MongoDB
50000,SAP
